content_id,client_id,baseline_score,suggested_action,reason_codes,impressions_90d,days_since_last_update,avg_position,ctr,engagement_rate,trend_direction
content_440d894b5ba6,client_3fdba35f04,0,monitor,"low_ctr, low_engagement",391,104,19.9,0.26,0.0,stable
content_a7d58e84079e,client_bbb965ab0c,0,monitor,"low_ctr, low_engagement",498,15,9.0,0.0,0.0,down
content_89fcb6f35525,client_6208ef0f77,0,monitor,"high_visibility, low_ctr, low_engagement",174408,104,4.7,0.56,1.33,down
content_c15de66f6851,client_a88a7902cb,0,monitor,"low_ctr, low_engagement",307,20,11.0,0.65,0.0,down
content_86a453a1aafa,client_19581e27de,0,monitor,"high_visibility, low_ctr, low_engagement",10583,22,5.8,0.07,0.0,down
content_00d7d2d7958e,client_19581e27de,0,monitor,"high_visibility, low_ctr, low_engagement",537,22,30.1,0.0,0.0,up
content_35e6edbb0a2d,client_349c41201b,0,monitor,"high_visibility, low_ctr, low_engagement",3115,20,23.7,0.16,1.07,stable
content_71f598d2f965,client_f369cb89fc,0,monitor,"low_ctr, low_engagement",1,20,0.0,0.0,0.0,new
content_c7bea9393329,client_19581e27de,0,monitor,"high_visibility, low_ctr, low_engagement",1705,22,25.2,0.12,0.0,stable
content_2905b598c35d,client_6208ef0f77,0,monitor,"high_visibility, low_ctr, low_engagement",39207,104,18.9,0.07,1.67,down
content_16ecc826236e,client_19581e27de,0,monitor,"high_visibility, low_ctr, low_engagement",4712,20,16.8,0.08,2.7,up
content_65e979ff69d9,client_6208ef0f77,0,monitor,"high_visibility, low_ctr, low_engagement",2949,20,37.2,0.37,0.0,down
content_bf33753aa0e3,client_a88a7902cb,0,monitor,"low_ctr, low_engagement",98,20,60.9,0.0,0.0,stable
content_baff44d8d0a8,client_f74efabef1,0,monitor,low_ctr,267,20,13.5,0.75,25.0,new
content_45422b0aff7b,client_a88a7902cb,0,monitor,"low_ctr, low_engagement",10,8,3.0,0.0,0.0,down
content_74652d21d350,client_9f14025af0,0,monitor,low_ctr,55,20,30.6,0.0,33.33,new
content_27806249a156,client_6208ef0f77,0,monitor,"high_visibility, low_ctr, low_engagement",5123,104,2.0,0.04,0.0,up
content_6c8fbfdf1b6a,client_6208ef0f77,0,monitor,"high_visibility, low_ctr, low_engagement",947,104,14.0,0.11,0.0,stable
content_e36a6e98f705,client_6208ef0f77,0,monitor,"low_ctr, low_engagement",154,104,12.5,0.0,0.0,down
content_b84a5df88090,client_f369cb89fc,0,monitor,"high_visibility, low_ctr, low_engagement",3699,20,8.1,0.03,0.0,stable
content_6a49598f4e73,client_f74efabef1,0,monitor,"low_ctr, low_engagement",38,8,48.9,0.0,0.0,down
content_0718b5188109,client_4e07408562,0,monitor,"high_visibility, low_ctr, low_engagement",773,13,21.4,0.13,0.0,stable
content_898cc0d1d0ca,client_8527a891e2,0,monitor,"low_ctr, low_engagement",6,104,14.3,0.0,0.0,flat
content_ad493c96737e,client_19581e27de,0,monitor,"high_visibility, low_ctr, low_engagement",16811,104,3.8,0.61,8.77,stable
content_f6cd991698ec,client_7f2253d7e2,0,monitor,"high_visibility, low_engagement",2809,20,8.4,1.35,2.44,down
content_ca0543268f58,client_3fdba35f04,0,monitor,"high_visibility, low_ctr",1852,19,14.9,0.0,33.33,down
content_dcaed25f4272,client_7f2253d7e2,0,monitor,"high_visibility, low_ctr, low_engagement",1966,96,6.6,0.25,0.0,down
content_61f1696827fb,client_a88a7902cb,0,monitor,"low_ctr, low_engagement",18,8,52.4,0.0,0.0,down
